# NGC Messier l b [Fe/H]  Fit Distance Fit Age rcut rclus Amplitude MeanOffset Sigma HessianError
NGC 4147 ··· 252.85 77.19 -1.58 19.3 11.2 0.07 0.08  0.565480400675 0.0318558281008 0.215568790803 0.782460122847
NGC 5024 M53 332.96 79.76 -1.89 18.7 12.6 0.25 0.30  0.499495083651 -0.148538628839 0.278620808091 1.2737806821
NGC 5053 ··· 335.70 78.95 -2.302 18.5 11.2 0.14 0.17   0.492197364498 0.254123571233 0.311089143528 1.10016998114
NGC 5272 M3 42.22 78.71 -1.43 10.4 11.9 0.30 0.40   0.872030043586 0.274231713781 0.360304216539 1.10273795765
NGC 5466 ··· 42.15 73.59 -2.14 15.6 13.5 0.18 0.25   0.554364307561 -0.0806670852039 0.0875416442498 0.892549285496
NGC 5904 M5 3.86 46.80 -1.17 8.0 9.5 0.21 0.28   5.07481664183 -0.144743217023 1.97498960042 0.0882494924512
NGC 6205 M13 59.01 40.91 -1.42 7.7 12.5 0.24 0.33  1.98488378038 0.1650784518 0.31144778606 0.209082286176
NGC 6341 M92 68.34 34.86 -2.17 8.7 13.2 0.135 0.20  0.828375957565 0.242772345324 0.288362422439 0.884807302713
NGC 7078 M15 65.01 -27.31 -2.04 11.0 11.0 0.19 0.25  0.6013004176 0.249477088718 0.304683024844 0.884822448268
NGC 7089 M2 53.37 -35.77 -1.38 11.5 12.4 0.14 0.18  1.95294317843 0.233789112251 0.327340145234 0.318577269233
Pal 5 ··· 0.85 45.86 -1.24 21.0 11.6 0.087 0.12  0.899824900664 -0.144265001723 0.284362685215 0.753510104425
