# l,b,dered_u,dered_g,dered_r,dered_i,dered_z
329.431936791659,79.8522437164323,19.94458,19.1172,18.82053,18.73341,18.71442
328.602231053635,79.5218142706022,22.34716,21.96527,21.59103,21.43539,21.51123
331.047778708113,80.4314385651226,24.18995,24.08888,23.69874,22.35983,22.648
329.216380565592,79.7654401822742,22.42827,21.76685,21.40592,21.23022,22.07945
331.073724241949,80.4378579601031,22.98735,24.76892,24.92132,22.28103,22.47472
328.660002824957,79.5419875591393,20.39866,20.43154,20.20239,20.21839,20.38561
330.913974445927,80.382957542782,22.53477,22.58696,22.33217,22.49691,22.14491
330.142558338022,80.1120651128334,20.61912,19.78717,19.50432,19.46786,19.32383
330.919337627578,80.3846698176463,22.71622,21.49647,21.36799,21.2755,21.62566
329.610425738812,79.9147532688473,22.94174,23.27674,23.44255,23.33968,21.39454
331.070385808656,80.4341871662873,23.54976,23.22718,22.95181,22.52007,21.56636
329.342980170336,79.8107958271199,22.47452,21.40647,20.81136,20.72619,20.33745
330.879896761924,80.3691869369993,22.93703,23.31808,22.77133,23.22452,23.08028
331.329368245313,80.5181795465976,20.68851,20.26513,20.50529,20.66773,20.99957
330.883849405973,80.3615535323581,20.40515,19.36638,18.85529,18.65477,18.58822
330.564493932859,80.2557816549347,22.6717,21.66751,21.24944,21.12802,21.13426
328.720212369345,79.5536194742457,22.63252,22.26723,21.75005,21.53345,21.46401
329.539819133625,79.8827455096513,22.59569,21.59909,21.12214,21.01742,20.61296
329.674462503381,79.935193869075,25.01358,22.92896,22.78235,22.72684,22.62682
329.636950917308,79.909437123376,22.94447,21.62768,21.35519,21.29405,20.84744
329.23309574473,79.758787711179,22.6098,22.24764,22.26806,22.80666,22.79327
329.238805387104,79.7626803435524,23.85689,23.36692,23.42298,22.91002,22.13762
329.14283231794,79.7285970361188,22.07443,24.20305,23.76474,25.05644,22.98528
329.334850651616,79.8037079468912,22.75033,22.72134,22.67147,22.4202,21.68113
329.292930659695,79.7827531230808,24.06517,23.3057,22.87642,22.89366,21.91595
330.005363722419,80.0548462382658,18.08409,17.22606,16.94468,16.84113,16.82567
330.144451023778,80.1069046436266,20.98767,19.96993,19.54847,19.43851,19.37355
330.169564014979,80.1146619551415,24.13772,23.21715,23.13949,22.65803,22.84864
330.096278939274,80.0907446012303,24.26997,22.5752,22.18402,21.99936,22.62797
331.295824745739,80.4852403492747,20.40674,20.57903,20.33283,20.33591,20.39286
331.22424479275,80.4688542723235,23.03746,22.90892,23.0311,23.25228,22.92204
331.320606818308,80.492279345946,22.88334,22.14668,21.68967,21.3014,21.48403
331.267052328576,80.4765467850205,25.66393,25.07732,25.02651,22.4249,22.5517
331.162253192471,80.4431019573009,26.08418,25.75138,25.38803,22.4205,23.63592
331.029365572871,80.4029780746477,21.1971,20.44547,20.05219,19.66638,19.43898
331.275485831064,80.4634244758131,23.28687,23.57175,23.03036,22.06313,22.64014
331.331390235627,80.4848566732445,25.02581,25.11682,24.7513,22.12386,22.39599
330.674262596469,80.2678997623747,22.50998,21.5207,21.64543,23.47685,22.79298
330.63096772303,80.2677524400364,23.80325,23.68063,23.82005,22.63404,22.31453
330.712921799903,80.2727199238312,23.45869,25.01394,24.41946,22.29727,22.68531
330.681653338736,80.2630293541663,24.29096,24.0932,24.2841,22.49657,21.6534
330.662747185135,80.2732420310823,24.12608,25.02732,24.7389,24.31393,21.5603
330.788891256543,80.3024921116511,18.86428,17.5817,17.13179,16.96642,16.89931
330.61842036297,80.2618586808392,20.09208,18.79255,18.26498,18.08513,17.97819
330.699543268613,80.2853919538546,19.84311,18.40523,17.90065,17.64858,17.66784
330.479664922489,80.192314416299,20.52644,19.61233,19.30459,19.19856,19.04863
330.543246498302,80.2240622540881,21.92035,25.77861,25.5974,24.52225,22.74664
330.485355486926,80.1992605549672,22.30399,24.98956,24.79349,24.5939,23.29098
330.394920965721,80.1787180067777,23.0736,21.81894,21.23077,21.10041,21.01174
330.46426195843,80.1876425687873,24.14549,22.84414,22.53263,22.53207,22.12561
330.624120135213,80.2457439251782,24.70553,23.37177,22.84274,23.07501,21.9743
330.548630900222,80.2285453563628,24.44768,24.09624,23.53797,21.29017,20.47851
331.437182491147,80.5243666553355,21.0291,19.90268,19.462,19.29848,19.20236
331.452822969411,80.5258711101027,22.29704,22.86492,22.72994,22.70951,22.98323
331.446064793561,80.533409554299,25.14324,24.77872,24.73961,24.34805,21.07218
328.855530986024,79.5867397863582,19.68577,18.57996,18.2012,18.07927,18.01695
328.724216992975,79.53630990188,19.02941,17.96584,17.5831,17.44951,17.35703
328.925979934028,79.6253759579232,21.43557,20.58019,20.19522,20.11387,20.15855
328.93312556793,79.6173457589808,21.14113,23.85254,23.5147,25.254,23.67276
328.832800874694,79.5721557936174,22.29097,22.30091,22.06065,23.03717,21.9896
328.667786675658,79.5087407168525,23.73345,22.42478,22.03167,21.93491,20.93362
329.714414550228,79.928183627363,24.72005,23.18391,23.09937,23.00374,22.49636
329.732888239572,79.9338206418902,24.58747,22.39408,21.8526,21.68368,21.37379
329.787969721305,79.9474641891082,22.88647,22.1648,21.75015,21.60771,21.40602
329.930747041149,79.9918894343929,22.939,21.97647,21.70926,21.72985,21.36432
329.866299275939,79.9704890339388,22.18168,21.21776,20.82096,20.67575,20.52453
329.694383885658,79.9148734519459,22.06234,21.28104,20.96382,20.82296,20.78143
329.746530871288,79.9297778232909,22.54346,20.96975,20.41198,20.1928,20.0984
329.642284405771,79.8918185011888,23.88982,24.57973,24.74973,22.14804,22.27187
329.384923275036,79.808171013263,17.05334,15.79505,15.38922,15.24554,15.22235
329.154057650794,79.7205212089041,21.9632,20.49389,20.08655,19.89543,19.8105
329.387188796078,79.8024295496953,23.43608,21.66574,21.64144,22.07187,21.33975
329.033912349605,79.6545497892224,21.90512,24.8779,24.52784,24.27669,23.05416
329.319647320307,79.7864295095645,24.27802,23.02071,23.2181,22.98071,23.26157
328.98897258916,79.6445483588417,24.78349,24.01113,24.05887,21.91527,21.47099
329.244419338675,79.7542826970571,24.1122,25.43124,25.52347,23.22065,17.94491
330.019672863077,80.0481115749475,22.05936,21.41219,20.9008,20.85094,20.54706
330.129276809108,80.0715222331294,21.8775,21.87851,21.47769,21.45136,21.31137
329.942675626305,80.0163231076011,23.9778,23.37203,22.91405,21.87654,22.05684
331.264518485529,80.4204776062084,18.80825,17.87394,17.59598,17.48902,17.47667
330.990248778265,80.3665141979683,22.15169,21.59121,21.36768,21.09033,21.12718
330.996052210583,80.3616757111327,22.19426,21.15682,20.66532,20.55713,20.40595
331.344985647438,80.4527296890833,21.77411,20.49185,19.99078,19.7912,19.57637
331.056004543266,80.3612668148047,21.81083,24.7929,24.77966,24.56727,23.5856
331.387993994367,80.4665222154535,23.36416,21.84514,21.3537,21.17344,20.82747
331.14839913114,80.3811318567407,22.51835,21.66174,21.16019,21.12426,21.0122
331.352758331139,80.4359342740501,24.76479,23.12414,22.91234,23.43152,22.69031
331.290275254066,80.4623477411824,23.38317,24.29701,24.00353,22.37871,21.58658
331.333833783679,80.4478005899311,24.72836,23.47403,23.58313,22.224,21.35513
331.277690769069,80.4244157801538,26.55639,24.43849,23.86016,22.15753,22.43377
331.292947417514,80.4228702373269,25.68085,24.60914,24.21246,22.17717,22.74055
330.731518051405,80.2636872223624,25.99458,23.10242,22.53067,22.61695,21.67323
330.802580956578,80.3005972527525,17.65311,15.88692,15.31652,15.15682,15.10927
330.564096714264,80.2023968029069,17.40801,16.15253,15.68788,15.53633,15.47626
330.970200087714,80.3091413335582,16.81202,15.69871,15.33204,15.22026,15.18019
330.373378661278,80.130292215183,24.09198,23.59555,23.47432,21.98351,21.16438
330.810740820907,80.2927308984103,23.10219,22.99928,22.7643,22.70075,22.39011
330.677868854311,80.2397662698676,25.11575,24.59101,24.22092,22.42635,21.88818
330.762400307911,80.2345265994019,22.08759,24.35664,23.79155,24.38754,22.04375
330.435899464835,80.1339090799858,21.52429,20.66384,20.39684,20.32854,20.16653
330.752214318526,80.2822471380289,23.14866,22.98425,22.39079,22.59617,21.94833
330.674977007532,80.2463343749934,22.99593,22.75379,22.9769,22.15327,21.15454
330.435507435783,80.1687762000353,24.67766,22.31529,21.86892,21.61056,21.36191
330.50543620964,80.1792258818865,22.49405,21.2066,20.62295,20.4469,20.31636
330.854223490435,80.2802881568415,23.54596,21.70499,21.18693,20.9664,20.72225
330.650511987423,80.2171379028631,23.07638,21.45543,20.97281,20.80484,21.01311
