#ra,dec,dered_g,dered_r,dered_u,flags
205.14378345,28.26119408,22.433546,21.838606,23.89467,281543964754432
205.13429202,28.34505147,21.403337,20.988901,22.182478,68987912704
205.13841885,28.45617732,21.055124,20.474363,22.58526,68987912192
205.12943505,28.43535118,22.905655,22.015631,24.791592,105622104310032
205.13294949,28.43586956,22.736055,21.795513,23.685854,105622137868304
205.12818987,28.27700761,16.89922,16.310642,18.442144,68987912192
205.13499854,28.32394667,16.940392,16.362501,18.471809,35253360136208
204.76723278,28.32432882,22.365513,21.740969,23.296904,68987912448
205.12980908,28.31592781,22.572247,21.855749,24.928396,68987912448
204.74601713,28.39206157,23.602728,22.637732,25.311571,281543964623104
205.12219178,28.29904064,23.610115,22.635328,25.70998,422281453109504
205.13889581,28.36759414,23.441225,22.488146,24.520098,281543964754176
205.14220855,28.30407019,23.416471,22.639339,23.904102,422281453109504
205.13085924,28.45610748,19.328798,18.982021,20.396015,68987912704
205.38250109,28.38728057,19.41568,19.160658,20.34977,35253395259412
205.12830392,28.30581742,18.528091,18.068161,19.768654,158398729551944
205.13664224,28.35206585,20.17642,19.858976,20.977165,68987912192
205.37759688,28.378561,19.362595,19.140104,20.381702,35253395259412
205.39406818,28.37178667,19.326876,19.049545,20.297573,35253395259412
205.39090693,28.36940114,19.405375,19.098188,20.370167,35253395259412
205.38637022,28.35954168,17.55274,16.948927,19.143864,35253395259412
205.38312995,28.4143297,18.943787,18.632677,19.851458,35219001970780
205.37511161,28.40593176,18.892294,18.646154,19.820795,35219035521116
205.14148167,28.34560759,22.249273,21.782686,22.780352,2279352565832
205.14380059,28.36764346,22.359474,21.805986,24.071442,68987912192
205.14232681,28.36479748,21.860353,21.268314,22.885071,68987912448
205.1431536,28.37713171,23.056549,22.258339,23.726315,281709320864000
205.38292947,28.32531207,20.816162,20.487099,21.887827,52845546180624
205.3760467,28.32182117,16.668152,16.090445,17.960842,35253360132112
205.3839759,28.32553303,21.293688,20.845045,22.688375,263951778713616
205.37514158,28.3245264,21.161894,20.799387,21.831837,35253360132112
