#Please input x: 0
#Please input z: 0.1
#Please input ymin: -150
#Please input ymax: 150
#Please input y increment: 1
#y r g gx gy gz 
-150.000000 150.000033 210.529730 0.000000 210.529677 -0.148769 
-149.000000 149.000034 211.867268 0.000000 211.867214 -0.150838 
-148.000000 148.000034 213.221458 0.000000 213.221403 -0.152950 
-147.000000 147.000034 214.592607 0.000000 214.592551 -0.155109 
-146.000000 146.000034 215.981025 0.000000 215.980968 -0.157313 
-145.000000 145.000034 217.387033 0.000000 217.386974 -0.159566 
-144.000000 144.000035 218.810957 0.000000 218.810897 -0.161868 
-143.000000 143.000035 220.253132 0.000000 220.253071 -0.164221 
-142.000000 142.000035 221.713903 0.000000 221.713840 -0.166626 
-141.000000 141.000035 223.193620 0.000000 223.193556 -0.169086 
-140.000000 140.000036 224.692644 0.000000 224.692578 -0.171600 
-139.000000 139.000036 226.211344 0.000000 226.211277 -0.174173 
-138.000000 138.000036 227.750099 0.000000 227.750031 -0.176804 
-137.000000 137.000036 229.309297 0.000000 229.309227 -0.179496 
-136.000000 136.000037 230.889335 0.000000 230.889263 -0.182252 
-135.000000 135.000037 232.490622 0.000000 232.490548 -0.185072 
-134.000000 134.000037 234.113575 0.000000 234.113500 -0.187959 
-133.000000 133.000038 235.758624 0.000000 235.758547 -0.190915 
-132.000000 132.000038 237.426209 0.000000 237.426130 -0.193943 
-131.000000 131.000038 239.116780 0.000000 239.116699 -0.197045 
-130.000000 130.000038 240.830802 0.000000 240.830719 -0.200222 
-129.000000 129.000039 242.568749 0.000000 242.568664 -0.203479 
-128.000000 128.000039 244.331109 0.000000 244.331022 -0.206817 
-127.000000 127.000039 246.118383 0.000000 246.118293 -0.210240 
-126.000000 126.000040 247.931085 0.000000 247.930993 -0.213750 
-125.000000 125.000040 249.769742 0.000000 249.769647 -0.217350 
-124.000000 124.000040 251.634897 0.000000 251.634800 -0.221043 
-123.000000 123.000041 253.527106 0.000000 253.527006 -0.224834 
-122.000000 122.000041 255.446941 0.000000 255.446838 -0.228724 
-121.000000 121.000041 257.394989 0.000000 257.394884 -0.232719 
-120.000000 120.000042 259.371855 0.000000 259.371747 -0.236821 
-119.000000 119.000042 261.378158 0.000000 261.378047 -0.241035 
-118.000000 118.000042 263.414536 0.000000 263.414422 -0.245365 
-117.000000 117.000043 265.481645 0.000000 265.481528 -0.249816 
-116.000000 116.000043 267.580159 0.000000 267.580038 -0.254391 
-115.000000 115.000043 269.710771 0.000000 269.710646 -0.259096 
-114.000000 114.000044 271.874194 0.000000 271.874066 -0.263936 
-113.000000 113.000044 274.071161 0.000000 274.071029 -0.268917 
-112.000000 112.000045 276.302427 0.000000 276.302291 -0.274043 
-111.000000 111.000045 278.568768 0.000000 278.568628 -0.279321 
-110.000000 110.000045 280.870984 0.000000 280.870840 -0.284757 
-109.000000 109.000046 283.209898 0.000000 283.209749 -0.290357 
-108.000000 108.000046 285.586356 0.000000 285.586202 -0.296129 
-107.000000 107.000047 288.001231 0.000000 288.001072 -0.302080 
-106.000000 106.000047 290.455421 0.000000 290.455258 -0.308218 
-105.000000 105.000048 292.949853 0.000000 292.949684 -0.314549 
-104.000000 104.000048 295.485478 0.000000 295.485304 -0.321084 
-103.000000 103.000049 298.063282 0.000000 298.063102 -0.327832 
-102.000000 102.000049 300.684276 0.000000 300.684089 -0.334801 
-101.000000 101.000050 303.349505 0.000000 303.349312 -0.342002 
-100.000000 100.000050 306.060045 0.000000 306.059846 -0.349446 
-99.000000 99.000051 308.817009 0.000000 308.816802 -0.357145 
-98.000000 98.000051 311.621541 0.000000 311.621327 -0.365110 
-97.000000 97.000052 314.474824 0.000000 314.474602 -0.373355 
-96.000000 96.000052 317.378077 0.000000 317.377847 -0.381893 
-95.000000 95.000053 320.332561 0.000000 320.332323 -0.390739 
-94.000000 94.000053 323.339576 0.000000 323.339329 -0.399909 
-93.000000 93.000054 326.400464 0.000000 326.400207 -0.409420 
-92.000000 92.000054 329.516613 0.000000 329.516347 -0.419289 
-91.000000 91.000055 332.689457 0.000000 332.689179 -0.429535 
-90.000000 90.000056 335.920475 0.000000 335.920186 -0.440179 
-89.000000 89.000056 339.211199 0.000000 339.210899 -0.451244 
-88.000000 88.000057 342.563213 0.000000 342.562900 -0.462752 
-87.000000 87.000057 345.978153 0.000000 345.977828 -0.474729 
-86.000000 86.000058 349.457714 0.000000 349.457374 -0.487203 
-85.000000 85.000059 353.003647 0.000000 353.003293 -0.500203 
-84.000000 84.000060 356.617767 0.000000 356.617397 -0.513761 
-83.000000 83.000060 360.301953 0.000000 360.301567 -0.527912 
-82.000000 82.000061 364.058150 0.000000 364.057746 -0.542692 
-81.000000 81.000062 367.888374 0.000000 367.887950 -0.558144 
-80.000000 80.000062 371.794712 0.000000 371.794269 -0.574310 
-79.000000 79.000063 375.779332 0.000000 375.778867 -0.591240 
-78.000000 78.000064 379.844479 0.000000 379.843991 -0.608986 
-77.000000 77.000065 383.992482 0.000000 383.991969 -0.627606 
-76.000000 76.000066 388.225760 0.000000 388.225221 -0.647164 
-75.000000 75.000067 392.546824 0.000000 392.546256 -0.667729 
-74.000000 74.000068 396.958281 0.000000 396.957682 -0.689379 
-73.000000 73.000068 401.462841 0.000000 401.462209 -0.712199 
-72.000000 72.000069 406.063320 0.000000 406.062653 -0.736284 
-71.000000 71.000070 410.762649 0.000000 410.761943 -0.761741 
-70.000000 70.000071 415.563876 0.000000 415.563127 -0.788687 
-69.000000 69.000072 420.470174 0.000000 420.469380 -0.817255 
-68.000000 68.000074 425.484851 0.000000 425.484007 -0.847595 
-67.000000 67.000075 430.611351 0.000000 430.610452 -0.879877 
-66.000000 66.000076 435.853269 0.000000 435.852310 -0.914294 
-65.000000 65.000077 441.214353 0.000000 441.213328 -0.951066 
-64.000000 64.000078 446.698520 0.000000 446.697422 -0.990448 
-63.000000 63.000079 452.309861 0.000000 452.308682 -1.032734 
-62.000000 62.000081 458.052655 0.000000 458.051386 -1.078265 
-61.000000 61.000082 463.931379 0.000000 463.930010 -1.127445 
-60.000000 60.000083 469.950723 0.000000 469.949240 -1.180750 
-59.000000 59.000085 476.115601 0.000000 476.113990 -1.238747 
-58.000000 58.000086 482.431171 0.000000 482.429414 -1.302122 
-57.000000 57.000088 488.902849 0.000000 488.900925 -1.371712 
-56.000000 56.000089 495.536326 0.000000 495.534209 -1.448549 
-55.000000 55.000091 502.337592 0.000000 502.335250 -1.533926 
-54.000000 54.000093 509.312954 0.000000 509.310347 -1.629486 
-53.000000 53.000094 516.469062 0.000000 516.466140 -1.737356 
-52.000000 52.000096 523.812934 0.000000 523.809630 -1.860349 
-51.000000 51.000098 531.351978 0.000000 531.348205 -2.002268 
-50.000000 50.000100 539.094024 0.000000 539.089663 -2.168403 
-49.000000 49.000102 547.047342 0.000000 547.042224 -2.366358 
-48.000000 48.000104 555.220656 0.000000 555.214533 -2.607502 
-47.000000 47.000106 563.623126 0.000000 563.615615 -2.909681 
-46.000000 46.000109 572.264256 0.000000 572.254725 -3.302681 
-45.000000 45.000111 581.153572 0.000000 581.140883 -3.840374 
-44.000000 44.000114 590.299548 0.000000 590.281378 -4.631501 
-43.000000 43.000116 599.705312 0.000000 599.675954 -5.933997 
-42.000000 42.000119 609.344582 0.000000 609.284655 -8.545743 
-41.000000 41.000122 618.866940 0.000000 618.639938 -16.760570 
-40.000000 40.000125 403.042043 0.000000 390.306757 -100.516286 
-39.000000 39.000128 367.394421 0.000000 367.135278 -13.796670 
-38.000000 38.000132 384.344981 0.000000 384.264566 -7.861785 
-37.000000 37.000135 401.887418 0.000000 401.845174 -5.826937 
-36.000000 36.000139 419.688470 0.000000 419.660409 -4.853110 
-35.000000 35.000143 437.752783 0.000000 437.731418 -4.324859 
-34.000000 34.000147 456.124621 0.000000 456.106804 -4.031517 
-33.000000 33.000152 474.857151 0.000000 474.841275 -3.882886 
-32.000000 32.000156 494.006712 0.000000 493.991822 -3.835491 
-31.000000 31.000161 513.631597 0.000000 513.617035 -3.867657 
-30.000000 30.000167 533.791957 0.000000 533.777196 -3.969755 
-29.000000 29.000172 554.550059 0.000000 554.534603 -4.140285 
-28.000000 28.000179 575.970657 0.000000 575.953966 -4.384856 
-27.000000 27.000185 598.121395 0.000000 598.102792 -4.717391 
-26.000000 26.000192 621.073180 0.000000 621.051708 -5.164291 
-25.000000 25.000200 644.900366 0.000000 644.874511 -5.774718 
-24.000000 24.000208 669.680328 0.000000 669.647338 -6.647163 
-23.000000 23.000217 695.490264 0.000000 695.444128 -8.010759 
-22.000000 22.000227 722.386702 0.000000 722.309502 -10.560796 
-21.000000 21.000238 750.142893 0.000000 749.927137 -17.990233 
-20.000000 20.000250 582.771517 0.000000 575.789974 -89.936350 
-19.000000 19.000263 583.498690 0.000000 583.268221 -16.398273 
-18.000000 18.000278 626.030607 0.000000 625.910221 -12.276617 
-17.000000 17.000294 670.018883 0.000000 669.913406 -11.888292 
-16.000000 16.000312 715.485729 0.000000 715.364109 -13.191660 
-15.000000 15.000333 762.625239 0.000000 762.435024 -17.032012 
-14.000000 14.000357 809.592016 0.000000 808.752755 -36.853941 
-13.000000 13.000385 658.120615 0.000000 657.441509 -29.889899 
-12.000000 12.000417 724.379432 0.000000 724.010236 -23.124455 
-11.000000 11.000455 792.841562 0.000000 792.122673 -33.755184 
-10.000000 10.000500 674.366206 0.000000 672.875189 -44.819192 
-9.000000 9.000556 760.485556 0.000000 759.338930 -41.745296 
-8.000000 8.000625 668.858200 0.000000 666.564858 -55.340590 
-7.000000 7.000714 692.457017 0.000000 679.202486 -134.835834 
-6.000000 6.000833 570.933695 0.000000 558.716948 -117.476190 
-5.000000 5.001000 513.954238 0.000000 499.131764 -122.541589 
-4.000000 4.001250 327.413668 0.000000 259.326815 -199.873242 
-3.000000 3.001666 281.075169 0.000000 -142.037810 -242.545895 
-2.000000 2.002498 592.732597 0.000000 -586.071381 -88.613024 
-1.000000 1.004988 267.387056 0.000000 -265.397805 -32.555221 
0.000000 0.100000 25.750495 0.000000 0.000000 -25.750495 
1.000000 1.004988 267.387056 0.000000 265.397805 -32.555221 
2.000000 2.002498 592.732597 0.000000 586.071381 -88.613024 
3.000000 3.001666 281.075169 0.000000 142.037810 -242.545895 
4.000000 4.001250 327.413668 0.000000 -259.326815 -199.873242 
5.000000 5.001000 513.954238 0.000000 -499.131764 -122.541589 
6.000000 6.000833 570.933695 0.000000 -558.716948 -117.476190 
7.000000 7.000714 692.457017 0.000000 -679.202486 -134.835834 
8.000000 8.000625 668.858200 0.000000 -666.564858 -55.340590 
9.000000 9.000556 760.485556 0.000000 -759.338930 -41.745296 
10.000000 10.000500 674.366206 0.000000 -672.875189 -44.819192 
11.000000 11.000455 792.841562 0.000000 -792.122673 -33.755184 
12.000000 12.000417 724.379432 0.000000 -724.010236 -23.124455 
13.000000 13.000385 658.120615 0.000000 -657.441509 -29.889899 
14.000000 14.000357 809.592016 0.000000 -808.752755 -36.853941 
15.000000 15.000333 762.625239 0.000000 -762.435024 -17.032012 
16.000000 16.000312 715.485729 0.000000 -715.364109 -13.191660 
17.000000 17.000294 670.018883 0.000000 -669.913406 -11.888292 
18.000000 18.000278 626.030607 0.000000 -625.910221 -12.276617 
19.000000 19.000263 583.498690 0.000000 -583.268221 -16.398273 
20.000000 20.000250 582.771517 0.000000 -575.789974 -89.936350 
21.000000 21.000238 750.142893 0.000000 -749.927137 -17.990233 
22.000000 22.000227 722.386702 0.000000 -722.309502 -10.560796 
23.000000 23.000217 695.490264 0.000000 -695.444128 -8.010759 
24.000000 24.000208 669.680328 0.000000 -669.647338 -6.647163 
25.000000 25.000200 644.900366 0.000000 -644.874511 -5.774718 
26.000000 26.000192 621.073180 0.000000 -621.051708 -5.164291 
27.000000 27.000185 598.121395 0.000000 -598.102792 -4.717391 
28.000000 28.000179 575.970657 0.000000 -575.953966 -4.384856 
29.000000 29.000172 554.550059 0.000000 -554.534603 -4.140285 
30.000000 30.000167 533.791957 0.000000 -533.777196 -3.969755 
31.000000 31.000161 513.631597 0.000000 -513.617035 -3.867657 
32.000000 32.000156 494.006712 0.000000 -493.991822 -3.835491 
33.000000 33.000152 474.857151 0.000000 -474.841275 -3.882886 
34.000000 34.000147 456.124621 0.000000 -456.106804 -4.031517 
35.000000 35.000143 437.752783 0.000000 -437.731418 -4.324859 
36.000000 36.000139 419.688470 0.000000 -419.660409 -4.853110 
37.000000 37.000135 401.887418 0.000000 -401.845174 -5.826937 
