# ra, dec, dered_g, dered_r, dered_u, flags
229.44185749,2.10021363,20.0948944092,19.7199172974,21.0314350128,301989904.0
229.43706441,2.10223215,20.6671199799,20.1756210327,21.6794586182,1.58329942971e+14
229.43906938,2.10159607,20.7225322723,20.3026256561,22.1293830872,7.03690127442e+13
229.43548148,2.1158646,14.9123287201,15.1576318741,16.0436992645,2416054288.0
229.43856775,2.11434341,18.0906867981,17.86876297,19.0936107635,7.22159239809e+16
229.4364095,2.11273066,20.761390686,20.3198356628,21.845117569,268566544.0
229.43812614,2.03013448,17.4918937683,17.0236148834,18.9497203827,2415919120.0
229.44138945,2.10232352,16.3716487885,15.9147491455,17.5068626404,7.2057596454e+16
229.43984364,2.10628011,20.96875,20.434431076,22.1359882355,7.03690126131e+13
229.44118545,2.09688167,18.8520565033,18.5962543488,19.7129421234,268435456.0
229.43605917,2.07023086,19.9651145935,19.6159191132,21.0241889954,268435472.0
229.43688481,2.05168879,19.8513355255,19.5208625793,21.0085716248,1.7592454611e+13
229.43725494,2.05229774,20.7752990723,20.2839374542,22.0768375397,7.03690127442e+13
229.43653639,2.05347135,20.6603012085,20.2285041809,22.0697441101,7.04033723516e+13
229.43774568,2.03925004,20.7591400146,20.2835025787,21.7204151154,268435456.0
229.43799132,2.04553867,19.9781303406,19.6072502136,20.8397712708,268435472.0
229.43976435,2.09861511,19.9226436615,19.568441391,20.9733772278,268435456.0
229.43915174,2.07518655,18.8605003357,18.6235027313,19.7898426056,7.20575943065e+16
229.44053837,2.12130857,19.5495948792,19.2641277313,20.4763774872,268435472.0
229.44124803,2.13238153,20.6517505646,20.2252101898,22.0135326385,7.03690126131e+13
229.44157381,2.11235408,18.8985843658,18.6626586914,19.7613945007,268435456.0
229.4414164,2.09189351,19.2786598206,18.9217128754,20.2611904144,7.20575943064e+16
229.44163034,2.1234022,20.1295452118,19.7428131104,21.1693267822,2416050704.0
229.43566053,2.12679297,21.0775318146,20.5340461731,22.3546142578,7.20575943064e+16
229.44255501,2.13030006,19.3657875061,19.0804653168,20.2791309357,268566544.0
229.44196616,2.05276011,20.1489181519,19.8140907288,21.3511543274,301989904.0
229.44058494,2.04077313,19.455997467,19.155090332,20.317117691,7.20575943065e+16
229.43923944,2.04080368,20.861497879,20.3747692108,22.6678352356,268566800.0
229.44198499,2.06427963,19.3546142578,19.032125473,20.4066333771,268435984.0
229.4393767,2.0834131,21.221529007,20.6968517303,23.1981716156,7.0371160097e+13
229.44011486,2.02865589,19.1307048798,18.86677742,20.0070323944,302120976.0
229.43161849,2.09550337,18.1052265167,17.838640213,19.0817508698,7.20575943064e+16
229.43216782,2.09667174,20.608587265,20.1468811035,21.6993503571,7.20575943399e+16
229.4323692,2.08921713,19.8072986603,19.4944534302,20.899597168,268435456.0
